Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust,Normalised_Power,Normalised_Thrust,F_objective,
21,0.0155,0.372,0.667,0.017,0.267,0.633,0.0235,0.333,0.624,1.1486,1.14048,802.621,915.37,150.691,0.350063853,0.264160038,0.125527821,787.28265
22,0.0145,0.256,0.653,0.0155,0.226,0.612,0.013,0.217,0.671,1.06973,1.02985,802.478,826.43,96.3449,0.085919634,0.088706675,0.01051896,744.536835
23,0.017,0.277,0.661,0.022,0.193,0.657,0.012,0.204,0.604,1.09691,1.08017,802.477,866.82,148.218,0.205874491,0.256176095,-0.011875189,740.8347
24,0.011,0.199,0.644,0.0165,0.311,0.664,0.0225,0.361,0.659,1.1205,1.10543,802.598,887.21,125.128,0.266431053,0.181631314,0.112044437,780.8512
25,0.0165,0.222,0.637,0.0205,0.346,0.645,0.0205,0.26,0.628,1.21457,1.22911,802.68,986.58,252.738,0.561551483,0.593613104,0.056980345,771.7527
26,0.0175,0.277,0.633,0.01,0.17,0.678,0.0155,0.362,0.619,1.12688,1.11505,802.594,894.94,137.339,0.289388495,0.221053848,0.101492724,778.20185
27,0.0145,0.382,0.634,0.023,0.204,0.62,0.011,0.237,0.66,1.04283,0.993874,802.415,797.5,74.8959,0,0.019459771,-0.016540806,733.838485
28,0.0125,0.254,0.675,0.0155,0.363,0.619,0.0175,0.339,0.652,1.09286,1.06035,802.53,850.96,123.593,0.158771643,0.176675651,0.00859734,745.90595
29,0.0145,0.168,0.605,0.021,0.329,0.64,0.0235,0.25,0.621,1.0951,1.06606,802.477,855.49,105.027,0.172225357,0.116736353,0.072999457,766.21705
30,0.018,0.273,0.612,0.0155,0.295,0.673,0.021,0.375,0.661,1.23798,1.26018,802.711,1011.56,257.787,0.635739954,0.60991352,0.117313463,792.44105
31,0.0155,0.26,0.624,0.011,0.381,0.664,0.0115,0.379,0.613,1.12564,1.1053,802.603,887.12,135.283,0.266163761,0.214416166,0.08391002,772.12945
32,0.021,0.204,0.616,0.0125,0.328,0.65,0.015,0.384,0.63,1.05927,1.01753,802.469,816.54,80.0561,0.056547177,0.03611919,0.025845865,748.492315
